Index,Song Name,Artist,BPM,Key,Genre
1,World Hold On (Radio),Bob Sinclar ft Steve Edwards,126.95947265625,Ab minor,Other
2,Point Of View (Radio Edit),DB Boulevard,129.09390258789062,C# major,Electronica & Dance
3,Little Scare                  ,Benjamin Diamond              ,129.805908203125,C# major,House
4,Hunnybee,Unknown Mortal Orchestra,119.95845794677734,C# major,Indie Rock
5,Back For More,Breakbot,114.96336364746094,C# minor,Electronic
6,Dance Yrself Clean,LCD Soundsystem,97.99561309814453,C# minor,Dance/Electronic
7,''EPLE'',Royksopp,108.59725952148438,C# major,House
8,Chillin',Modjo,125.01191711425781,Bb minor,Alternative Rock/Trance/Vocal/UK Garage/House/Downtempo
9,03 Breathe - Telepopmusik,Tom Middleton,125.98785400390625,F# minor,Other
10,Revolution 909,Daft Punk,126.4563980102539,B minor,Electronic
11,Go,The Chemical Brothers,120.02436828613281,D minor,Unknown
12,Feeling For You,Cassius,134.85470581054688,F# minor,'90s House Hits/Classics
13,Short Circuit,Daft Punk,146.28321838378906,Ab minor,Electrónica
14,Mind Mischief,Tame Impala,162.66062927246094,F# major,Psychedelic Rock
15,Breathe,Telepopmusik,113.03142547607422,F minor,Lo fi
16,Wrong (Todd Terry remix),Everything but the Girl,123.13294219970703,Eb minor,Trip-Hop
17,Oh Sheit it's X,Thundercat,123.01561737060547,E major,Electronic
18,Magic Spells,Crystal Castles,104.98182678222656,C# minor,Other
19,"Black Eyed Peas, Shakira, twocolors - GIRL LIKE ME (twocolors extended - Official Audio)",Unknown,123.99714660644531,A minor,Unknown
20,"Travis Scott, HVME - Goosebumps (Remix - Official Audio)",Unknown,124.00692749023438,Ab minor,Unknown
21,Dua Lipa - Levitating feat. DaBaby (Don Diablo Remix) [Official Audio],Unknown,119.82213592529297,B minor,Unknown
22,Dua Lipa - We’re Good (Dillon Francis Remix) [Official Audio],Unknown,124.93208312988281,Eb minor,Unknown
23,"Doja Cat, The Weeknd - You Right (Terry Kingsley Remix)",Unknown,128.00250244140625,C minor,Unknown
24,"Doja Cat, SZA - Kiss Me More (Daju Remix)",Unknown,115.91131591796875,F# minor,Unknown
25,Glass Animals - Heat Waves (Riton Remix),Unknown,110.02191925048828,B major,Unknown
26,SAINt JHN - Roses (Imanbek Remix) (Official Music Video),Unknown,122.0160903930664,F minor,Unknown
27,Riton x Nightcrawlers - Friday ft. Mufasa & Hypeman (Dopamine Re-edit) [Official Video],Unknown,122.91832733154297,B minor,Unknown
28,High Horse (Kue Remix),Unknown,123.00837707519531,B minor,Unknown
29,Ed Sheeran - Bad Habits [Official Lyric Video],Unknown,125.93702697753906,B minor,Unknown
30,Africa,Toto,92.56652069091797,E major,Other
31,Excursions,A Tribe Called Quest,95.66764831542969,E minor,"Hip-Hop, Jazz Rap"
32,Pony,Ginuwine,71.01811981201172,C# minor,R&B
33,Both (Feat. Drake),Gucci Mane,139.97921752929688,G minor,Hip-Hop
34,Roy Woods - Get You Good,Unknown,86.16466522216797,C minor,Unknown
35,D.D. (Album Version),The Weeknd,120.03374481201172,G minor,R&B
36,The Birds Pt. 1 (Album Version),The Weeknd,128.0577850341797,C minor,R&B
37,Say My Name,Destiny's Child,138.02662658691406,C minor,Pop
38,"Usher, Summer Walker, 21 Savage - Good Good (Official Visualizer)",Unknown,141.04234313964844,Bb major,Unknown
39,Work Out,J. Cole,92.9799575805664,C major,Pop Rock
40,The Hills,The Weeknd,112.61862182617188,F minor,Pop
41,Passionfruit,Drake,111.9953384399414,B major,Hip-Hop/Rap
42,The Color Violet,Tory Lanez,104.88456726074219,B minor,Rhythm & Blues
43,The Motto (feat. Lil Wayne),Drake/Lil Wayne,101.54440307617188,F# minor,Rap/Hip Hop
44,09 - '87 Stingray.flac,Unknown,129.1289825439453,Bb minor,Unknown
45,"Hold On, We're Going Home (Album Version) (feat. Majid Jordan)",Drake,99.86736297607422,B minor,Rap/Hip Hop
46,Often,The Weeknd,135.06686401367188,C minor,Soul
47,Change The Beat - Besides Bside,Unknown,97.74983215332031,D minor,Unknown
48,equilibrium,Darius & Wayne Snow,117.97865295410156,Ab minor,Disco
49,Controller,Channel Tres,117.93929290771484,F minor,"Funky, Club, House"
50,Dj Got Us Fallin' In Love,Usher & Pitbull,119.96463775634766,G minor,Top 40
